座標,数値解,解析解,誤差
  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  2.00000000E-02,  3.56827144E-02,  3.56673312E-02,  1.53832053E-05
  4.00000000E-02,  7.12938308E-02,  7.12632804E-02,  3.05504339E-05
  6.00000000E-02,  1.06762176E-01,  1.06716888E-01,  4.52878370E-05
  8.00000000E-02,  1.42017424E-01,  1.41958038E-01,  5.93857626E-05
  1.00000000E-01,  1.76990505E-01,  1.76917865E-01,  7.26407080E-05
  1.20000000E-01,  2.11614009E-01,  2.11529152E-01,  8.48570988E-05
  1.40000000E-01,  2.45822562E-01,  2.45726714E-01,  9.58488451E-05
  1.60000000E-01,  2.79553195E-01,  2.79447754E-01,  1.05440624E-04
  1.80000000E-01,  3.12745673E-01,  3.12632204E-01,  1.13468850E-04
  2.00000000E-01,  3.45342810E-01,  3.45223028E-01,  1.19782292E-04
  2.20000000E-01,  3.77290749E-01,  3.77166507E-01,  1.24242310E-04
  2.40000000E-01,  4.08539203E-01,  4.08412480E-01,  1.26722694E-04
  2.60000000E-01,  4.39041670E-01,  4.38914561E-01,  1.27109084E-04
  2.80000000E-01,  4.68755611E-01,  4.68630313E-01,  1.25297961E-04
  3.00000000E-01,  4.97642581E-01,  4.97521386E-01,  1.21195222E-04
  3.20000000E-01,  5.25668335E-01,  5.25553621E-01,  1.14714341E-04
  3.40000000E-01,  5.52802884E-01,  5.52697109E-01,  1.05774122E-04
  3.60000000E-01,  5.79020519E-01,  5.78926223E-01,  9.42960922E-05
  3.80000000E-01,  6.04299800E-01,  6.04219599E-01,  8.02015327E-05
  4.00000000E-01,  6.28623500E-01,  6.28560091E-01,  6.34082104E-05
  4.20000000E-01,  6.51978517E-01,  6.51934690E-01,  4.38268322E-05
  4.40000000E-01,  6.74355762E-01,  6.74334405E-01,  2.13572764E-05
  4.60000000E-01,  6.95749999E-01,  6.95754114E-01,  4.11535431E-06
  4.80000000E-01,  7.16159670E-01,  7.16192394E-01,  3.27248056E-05
  5.00000000E-01,  7.35586687E-01,  7.35651315E-01,  6.46278161E-05
  5.20000000E-01,  7.54036205E-01,  7.54136213E-01,  1.00008278E-04
  5.40000000E-01,  7.71516364E-01,  7.71655445E-01,  1.39081358E-04
  5.60000000E-01,  7.88038029E-01,  7.88220127E-01,  1.82097522E-04
  5.80000000E-01,  8.03614503E-01,  8.03843849E-01,  2.29346399E-04
  6.00000000E-01,  8.18261232E-01,  8.18542393E-01,  2.81160447E-04
  6.20000000E-01,  8.31995505E-01,  8.32333424E-01,  3.37918335E-04
  6.40000000E-01,  8.44836144E-01,  8.45236192E-01,  4.00048017E-04
  6.60000000E-01,  8.56803193E-01,  8.57271223E-01,  4.68029422E-04
  6.80000000E-01,  8.67917610E-01,  8.68460007E-01,  5.42396716E-04
  7.00000000E-01,  8.78200959E-01,  8.78824699E-01,  6.23740089E-04
  7.20000000E-01,  8.87675107E-01,  8.88387814E-01,  7.12707002E-04
  7.40000000E-01,  8.96361932E-01,  8.97171935E-01,  8.10002868E-04
  7.60000000E-01,  9.04283044E-01,  9.05199435E-01,  9.16391099E-04
  7.80000000E-01,  9.11459507E-01,  9.12492199E-01,  1.03269249E-03
  8.00000000E-01,  9.17911588E-01,  9.19071372E-01,  1.15978390E-03
  8.20000000E-01,  9.23658517E-01,  9.24957113E-01,  1.29859614E-03
  8.40000000E-01,  9.28718260E-01,  9.30168371E-01,  1.45011115E-03
  8.60000000E-01,  9.33107320E-01,  9.34722678E-01,  1.61535827E-03
  8.80000000E-01,  9.36840547E-01,  9.38635957E-01,  1.79540971E-03
  9.00000000E-01,  9.39930983E-01,  9.41922358E-01,  1.99137513E-03
  9.20000000E-01,  9.42389712E-01,  9.44594107E-01,  2.20439532E-03
  9.40000000E-01,  9.44225746E-01,  9.46661381E-01,  2.43563496E-03
  9.60000000E-01,  9.45445930E-01,  9.48132204E-01,  2.68627446E-03
  9.80000000E-01,  9.46054864E-01,  9.49012365E-01,  2.95750094E-03
  1.00000000E+00,  9.46054864E-01,  9.49305363E-01,  3.25049819E-03
