座標,数値解,解析解,誤差
  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  2.00000000E-02,  3.56562554E-02,  3.56673312E-02,  1.10757773E-05
  4.00000000E-02,  7.12411852E-02,  7.12632804E-02,  2.20951737E-05
  6.00000000E-02,  1.06683885E-01,  1.06716888E-01,  3.30033825E-05
  8.00000000E-02,  1.41914290E-01,  1.41958038E-01,  4.37487383E-05
  1.00000000E-01,  1.76863581E-01,  1.76917865E-01,  5.42842700E-05
  1.20000000E-01,  2.11464583E-01,  2.11529152E-01,  6.45692322E-05
  1.40000000E-01,  2.45652143E-01,  2.45726714E-01,  7.45706122E-05
  1.60000000E-01,  2.79363490E-01,  2.79447754E-01,  8.42646049E-05
  1.80000000E-01,  3.12538566E-01,  3.12632204E-01,  9.36380555E-05
  2.00000000E-01,  3.45120338E-01,  3.45223028E-01,  1.02689867E-04
  2.20000000E-01,  3.77055074E-01,  3.77166507E-01,  1.11432373E-04
  2.40000000E-01,  4.08292587E-01,  4.08412480E-01,  1.19892677E-04
  2.60000000E-01,  4.38786447E-01,  4.38914561E-01,  1.28113966E-04
  2.80000000E-01,  4.68494156E-01,  4.68630313E-01,  1.36156792E-04
  3.00000000E-01,  4.97377286E-01,  4.97521386E-01,  1.44100348E-04
  3.20000000E-01,  5.25401577E-01,  5.25553621E-01,  1.52043716E-04
  3.40000000E-01,  5.52537002E-01,  5.52697109E-01,  1.60107135E-04
  3.60000000E-01,  5.78757790E-01,  5.78926223E-01,  1.68433253E-04
  3.80000000E-01,  6.04042410E-01,  6.04219599E-01,  1.77188415E-04
  4.00000000E-01,  6.28373527E-01,  6.28560091E-01,  1.86563960E-04
  4.20000000E-01,  6.51737913E-01,  6.51934690E-01,  1.96777562E-04
  4.40000000E-01,  6.74126330E-01,  6.74334405E-01,  2.08074599E-04
  4.60000000E-01,  6.95533384E-01,  6.95754114E-01,  2.20729572E-04
  4.80000000E-01,  7.15957347E-01,  7.16192394E-01,  2.35047569E-04
  5.00000000E-01,  7.35399949E-01,  7.35651315E-01,  2.51365764E-04
  5.20000000E-01,  7.53866158E-01,  7.54136213E-01,  2.70054963E-04
  5.40000000E-01,  7.71363924E-01,  7.71655445E-01,  2.91521173E-04
  5.60000000E-01,  7.87903919E-01,  7.88220127E-01,  3.16207192E-04
  5.80000000E-01,  8.03499255E-01,  8.03843849E-01,  3.44594189E-04
  6.00000000E-01,  8.18165189E-01,  8.18542393E-01,  3.77203262E-04
  6.20000000E-01,  8.31918827E-01,  8.32333424E-01,  4.14596939E-04
  6.40000000E-01,  8.44778811E-01,  8.45236192E-01,  4.57380586E-04
  6.60000000E-01,  8.56765019E-01,  8.57271223E-01,  5.06203680E-04
  6.80000000E-01,  8.67898246E-01,  8.68460007E-01,  5.61760915E-04
  7.00000000E-01,  8.78199906E-01,  8.78824699E-01,  6.24793065E-04
  7.20000000E-01,  8.87691726E-01,  8.88387814E-01,  6.96087572E-04
  7.40000000E-01,  8.96395456E-01,  8.97171935E-01,  7.76478784E-04
  7.60000000E-01,  9.04332587E-01,  9.05199435E-01,  8.66847785E-04
  7.80000000E-01,  9.11524078E-01,  9.12492199E-01,  9.68121750E-04
  8.00000000E-01,  9.17990099E-01,  9.19071372E-01,  1.08127276E-03
  8.20000000E-01,  9.23749797E-01,  9.24957113E-01,  1.20731598E-03
  8.40000000E-01,  9.28821064E-01,  9.30168371E-01,  1.34730721E-03
  8.60000000E-01,  9.33220338E-01,  9.34722678E-01,  1.50233965E-03
  8.80000000E-01,  9.36962417E-01,  9.38635957E-01,  1.67353984E-03
  9.00000000E-01,  9.40060296E-01,  9.41922358E-01,  1.86206278E-03
  9.20000000E-01,  9.42525021E-01,  9.44594107E-01,  2.06908615E-03
  9.40000000E-01,  9.44365578E-01,  9.46661381E-01,  2.29580348E-03
  9.60000000E-01,  9.45588788E-01,  9.48132204E-01,  2.54341648E-03
  9.80000000E-01,  9.46199239E-01,  9.49012365E-01,  2.81312623E-03
  1.00000000E+00,  9.46199239E-01,  9.49305363E-01,  3.10612348E-03
